,Date,Bike Usage,Day
253,2019-09-29,3832.0,7.0
254,2019-09-30,5822.5,1.0
255,2019-10-02,8352.5,3.0
256,2019-10-03,7476.0,4.0
257,2019-10-04,7062.0,5.0
258,2019-10-05,3435.0,6.0
259,2019-10-06,3967.0,7.0
260,2019-10-07,7721.5,1.0
261,2019-10-08,8211.0,2.0
262,2019-10-09,8123.0,3.0
263,2019-10-10,8057.5,4.0
264,2019-10-11,8156.0,5.0
265,2019-10-12,4462.0,6.0
266,2019-10-13,3407.0,7.0
267,2019-10-14,6871.5,1.0
268,2019-10-15,7883.0,2.0
269,2019-10-16,8322.5,3.0
270,2019-10-17,8040.5,4.0
271,2019-10-18,7668.5,5.0
272,2019-10-19,3955.5,6.0
273,2019-10-20,3675.5,7.0
274,2019-10-21,7181.5,1.0
275,2019-10-22,7745.5,2.0
276,2019-10-23,8191.0,3.0
277,2019-10-24,7966.0,4.0
278,2019-10-25,6062.5,5.0
279,2019-10-26,4130.5,6.0
280,2019-10-27,3716.0,7.0
281,2019-10-28,3504.0,1.0
282,2019-10-29,7018.0,2.0
283,2019-10-30,7579.5,3.0
284,2019-10-31,6925.0,4.0
285,2019-11-01,7062.0,5.0
286,2019-11-02,3117.5,6.0
287,2019-11-03,3541.5,7.0
288,2019-11-04,5466.5,1.0
289,2019-11-05,7408.0,2.0
290,2019-11-06,7388.5,3.0
291,2019-11-07,5176.0,4.0
292,2019-11-08,7461.5,5.0
293,2019-11-09,3344.5,6.0
294,2019-11-10,2951.0,7.0
295,2019-11-11,6812.5,1.0
296,2019-11-12,7464.0,2.0
297,2019-11-13,6264.5,3.0
298,2019-11-14,7026.5,4.0
299,2019-11-15,6812.0,5.0
300,2019-11-16,3919.0,6.0
301,2019-11-17,3379.5,7.0
302,2019-11-18,6622.5,1.0
303,2019-11-19,6638.5,2.0
304,2019-11-20,6622.0,3.0
305,2019-11-21,6246.0,4.0
306,2019-11-22,6045.5,5.0
307,2019-11-23,3339.5,6.0
308,2019-11-24,3100.0,7.0
309,2019-11-25,6295.5,1.0
310,2019-11-26,6555.0,2.0
311,2019-11-27,7142.0,3.0
312,2019-11-28,7211.5,4.0
313,2019-11-29,6951.0,5.0
314,2019-11-30,3848.0,6.0
315,2019-12-01,3042.0,7.0
316,2019-12-02,6817.0,1.0
317,2019-12-03,7406.5,2.0
318,2019-12-04,7594.5,3.0
319,2019-12-05,7259.0,4.0
320,2019-12-06,5529.5,5.0
321,2019-12-07,3550.0,6.0
322,2019-12-08,2400.0,7.0
323,2019-12-10,3298.5,2.0
324,2019-12-11,6925.5,3.0
325,2019-12-12,4764.5,4.0
326,2019-12-13,3455.5,5.0
327,2019-12-14,3804.0,6.0
328,2019-12-15,2940.5,7.0
329,2019-12-16,6488.5,1.0
330,2019-12-17,1681.0,2.0
331,2019-12-22,2480.5,7.0
332,2019-12-23,1695.0,1.0
333,2019-12-24,3236.0,2.0
334,2019-12-30,3498.0,1.0
335,2019-12-31,1057.5,2.0
336,2020-01-01,1561.5,3.0
337,2020-01-03,5634.0,5.0
338,2020-01-05,2758.0,7.0
339,2020-01-13,5814.5,1.0
340,2020-01-14,4007.5,2.0
341,2020-01-23,7568.0,4.0
342,2020-01-25,3402.0,6.0
343,2020-01-27,3540.0,1.0
344,2020-01-28,7143.0,2.0
345,2020-01-29,7369.5,3.0
346,2020-01-30,7510.5,4.0
347,2020-01-31,7060.5,5.0
348,2020-02-01,3559.5,6.0
349,2020-02-02,3315.0,7.0
350,2020-02-03,6687.0,1.0
351,2020-02-04,7150.0,2.0
352,2020-02-05,7304.5,3.0
353,2020-02-06,7316.5,4.0
354,2020-02-07,6788.0,5.0
355,2020-02-08,3422.0,6.0
