,Date,Bike Usage,Day
1360,2022-11-15,3621.0,2.0
1361,2022-11-16,3605.0,3.0
1362,2022-11-17,3570.0,4.0
1363,2022-11-18,3221.0,5.0
1364,2022-11-19,2088.5,6.0
1365,2022-11-20,1678.5,7.0
1366,2022-11-21,2682.5,1.0
1367,2022-11-22,3180.0,2.0
1368,2022-11-23,1654.5,3.0
1369,2022-11-24,3198.5,4.0
1370,2022-11-25,3318.0,5.0
1371,2022-11-26,2174.5,6.0
1372,2022-11-27,1736.5,7.0
1373,2022-11-28,3092.5,1.0
1374,2022-11-29,3508.0,2.0
1375,2022-11-30,3554.5,3.0
1376,2022-12-01,3598.0,4.0
1377,2022-12-02,3384.5,5.0
1378,2022-12-03,2156.5,6.0
1379,2022-12-04,1411.5,7.0
1380,2022-12-05,2765.5,1.0
1381,2022-12-06,3212.5,2.0
1382,2022-12-07,3410.5,3.0
1383,2022-12-08,3278.0,4.0
1384,2022-12-09,2409.5,5.0
1385,2022-12-10,1618.0,6.0
1386,2022-12-11,1424.0,7.0
1387,2022-12-12,2648.5,1.0
1388,2022-12-13,3184.0,2.0
1389,2022-12-14,3140.5,3.0
1390,2022-12-15,3059.0,4.0
1391,2022-12-16,2613.5,5.0
1392,2022-12-17,1751.0,6.0
1393,2022-12-18,1516.5,7.0
1394,2022-12-19,2686.0,1.0
1395,2022-12-20,2951.0,2.0
1396,2022-12-21,2646.5,3.0
1397,2022-12-22,2381.0,4.0
1398,2022-12-23,1820.0,5.0
1399,2022-12-24,1141.0,6.0
1400,2022-12-25,790.5,7.0
1401,2022-12-26,782.0,1.0
1402,2022-12-27,1313.0,2.0
1403,2022-12-28,1504.0,3.0
1404,2022-12-29,1444.0,4.0
1405,2022-12-30,1614.5,5.0
1406,2022-12-31,1598.0,6.0
